Relatório Pluviométrico da Estação: Jacarepagua/Cidade de Deus

Dados normalizados para o Horário Brasileiro de Verão (HBV)

Dia         Hora      HBV   15 min   01 h   04 h   24 h   96 h
01/12/2001  01:11:40  HBV      0.0    0.0    0.0    0.0    7.4
01/12/2001  01:26:40  HBV      0.0    0.0    0.0    0.0    7.4
01/12/2001  01:41:40  HBV      0.0    0.0    0.0    0.0    7.4
01/12/2001  01:56:40  HBV      0.0    0.0    0.0    0.0    7.4
01/12/2001  02:11:40  HBV      0.0    0.0    0.0    0.0    7.4
01/12/2001  02:26:40  HBV      0.0    0.0    0.0    0.0    7.4
01/12/2001  02:41:40  HBV      0.0    0.0    0.0    0.0    7.4
01/12/2001  02:56:40  HBV      0.0    0.0    0.0    0.0    7.4
01/12/2001  03:11:40  HBV      0.0    0.0    0.0    0.0    7.4
01/12/2001  03:26:40  HBV      0.0    0.0    0.0    0.0    7.4
01/12/2001  03:41:40  HBV      0.0    0.0    0.0    0.0    7.4
01/12/2001  03:56:40  HBV      0.0    0.0    0.0    0.0    7.4
01/12/2001  04:11:40  HBV      0.0    0.0    0.0    0.0    7.4
01/12/2001  04:26:40  HBV      0.0    0.0    0.0    0.0    7.4
01/12/2001  04:41:40  HBV      0.0    0.0    0.0    0.0    7.4
01/12/2001  04:56:40  HBV      0.0    0.0    0.0    0.0    7.4
01/12/2001  05:11:40  HBV      0.0    0.0    0.0    0.0    7.4
01/12/2001  05:26:40  HBV      0.0    0.0    0.0    0.0    7.4
01/12/2001  05:41:40  HBV      0.0    0.0    0.0    0.0    7.4
01/12/2001  05:56:40  HBV      0.0    0.0    0.0    0.0    7.4
01/12/2001  06:11:40  HBV      0.0    0.0    0.0    0.0    7.4
01/12/2001  06:26:40  HBV      0.0    0.0    0.0    0.0    7.4
01/12/2001  06:41:40  HBV      0.0    0.0    0.0    0.0    7.4
01/12/2001  06:56:40  HBV      0.0    0.0    0.0    0.0    7.4
01/12/2001  07:11:40  HBV      0.0    0.0    0.0    0.0    7.4
01/12/2001  07:26:40  HBV      0.0    0.0    0.0    0.0    7.4
01/12/2001  07:41:40  HBV      0.0    0.0    0.0    0.0    7.4
01/12/2001  07:56:40  HBV      0.0    0.0    0.0    0.0    7.4
01/12/2001  08:11:40  HBV      0.0    0.0    0.0    0.0    7.4
01/12/2001  08:26:40  HBV      0.0    0.0    0.0    0.0    7.4
01/12/2001  08:41:40  HBV      0.0    0.0    0.0    0.0    7.4
01/12/2001  08:56:40  HBV      0.0    0.0    0.0    0.0    7.4
01/12/2001  09:11:40  HBV      0.0    0.0    0.0    0.0    7.4
01/12/2001  09:26:40  HBV      0.0    0.0    0.0    0.0    7.4
01/12/2001  09:41:40  HBV      0.0    0.0    0.0    0.0    7.4
01/12/2001  09:56:40  HBV      0.0    0.0    0.0    0.0    7.4
01/12/2001  10:11:40  HBV      0.0    0.0    0.0    0.0    7.4
01/12/2001  10:26:40  HBV      0.0    0.0    0.0    0.0    7.4
01/12/2001  10:41:40  HBV      0.0    0.0    0.0    0.0    7.4
01/12/2001  10:56:40  HBV      0.0    0.0    0.0    0.0    7.4
01/12/2001  11:11:40  HBV      0.0    0.0    0.0    0.0    7.4
01/12/2001  11:26:40  HBV      0.0    0.0    0.0    0.0    7.4
01/12/2001  11:41:40  HBV      0.0    0.0    0.0    0.0    7.4
01/12/2001  11:56:40  HBV      0.0    0.0    0.0    0.0    7.4
01/12/2001  12:11:40  HBV      0.0    0.0    0.0    0.0    7.4
01/12/2001  12:26:40  HBV      0.0    0.0    0.0    0.0    7.4
01/12/2001  12:41:40  HBV      0.0    0.0    0.0    0.0    7.4
01/12/2001  12:56:40  HBV      0.0    0.0    0.0    0.0    7.4
01/12/2001  13:11:40  HBV      0.0    0.0    0.0    0.0    7.4
01/12/2001  13:26:40  HBV      0.0    0.0    0.0    0.0    7.4
01/12/2001  13:41:40  HBV      0.0    0.0    0.0    0.0    7.4
01/12/2001  13:56:40  HBV      0.4    0.4    0.4    0.4    7.8
01/12/2001  14:11:40  HBV      1.8    2.2    2.2    2.2    9.6
01/12/2001  14:26:40  HBV      0.0    2.2    2.2    2.2    9.6
01/12/2001  14:41:40  HBV      0.0    2.2    2.2    2.2    9.6
01/12/2001  14:56:40  HBV      0.0    1.8    2.2    2.2    9.6
01/12/2001  15:11:40  HBV      0.0    0.0    2.2    2.2    9.6
01/12/2001  15:26:40  HBV      0.0    0.0    2.2    2.2    9.6
01/12/2001  15:41:40  HBV      0.0    0.0    2.2    2.2    9.6
01/12/2001  15:56:40  HBV      0.0    0.0    2.2    2.2    9.6
01/12/2001  16:11:40  HBV      0.0    0.0    2.2    2.2    9.6
01/12/2001  16:26:40  HBV      0.0    0.0    2.2    2.2    9.6
01/12/2001  16:41:40  HBV      0.0    0.0    2.2    2.2    9.6
01/12/2001  16:56:40  HBV      0.0    0.0    2.2    2.2    9.6
01/12/2001  17:11:40  HBV      0.0    0.0    2.2    2.2    9.6
01/12/2001  17:26:40  HBV      0.0    0.0    2.2    2.2    9.6
01/12/2001  17:41:40  HBV      0.0    0.0    2.2    2.2    9.6
01/12/2001  17:56:40  HBV      0.0    0.0    1.8    2.2    9.6
01/12/2001  18:11:40  HBV      0.0    0.0    0.0    2.2    9.6
